rank,hand,equity_pct
1,AA,85.2183
2,KK,82.4196
3,QQ,79.9191
4,JJ,77.4431
5,TT,75.0071
6,99,72.0453
7,88,69.1701
8,AKs,67.0392
9,77,66.2712
10,AQs,66.2197
11,AJs,65.3904
12,AKo,65.3225
13,ATs,64.6025
14,AQo,64.4168
15,AJo,63.5557
16,KQs,63.4290
17,66,63.3214
18,A9s,62.7679
19,ATo,62.7385
20,KJs,62.5471
21,A8s,61.9500
22,KTs,61.7886
23,KQo,61.4722
24,A7s,60.9758
25,A9o,60.7503
26,KJo,60.5522
27,55,60.3176
28,QJs,60.2634
29,K9s,60.0114
30,A6s,59.9297
31,A5s,59.9217
32,A8o,59.8766
33,KTo,59.7529
34,QTs,59.4641
35,A4s,59.0452
36,A7o,58.8179
37,K8s,58.3135
38,A3s,58.2202
39,QJo,58.1244
40,K9o,57.8094
41,A6o,57.7104
42,A5o,57.7031
43,Q9s,57.6858
44,K7s,57.5437
45,JTs,57.5282
46,A2s,57.4308
47,QTo,57.3167
48,44,57.0136
49,A4o,56.6985
50,K6s,56.6398
51,K8o,56.0125
52,Q8s,55.9834
53,A3o,55.8116
54,K5s,55.8004
55,J9s,55.6544
56,Q9o,55.3631
57,JTo,55.2446
58,K7o,55.1691
59,A2o,54.8994
60,K4s,54.8895
61,Q7s,54.3058
62,K6o,54.1934
63,K3s,54.0632
64,T9s,54.0342
65,J8s,54.0195
66,33,53.7315
67,Q6s,53.6214
68,Q8o,53.6113
69,K5o,53.3013
70,J9o,53.2693
71,K2s,53.1965
72,Q5s,52.7635
73,K4o,52.3368
74,T8s,52.3207
75,J7s,52.3185
76,Q4s,51.8402
77,Q7o,51.7932
78,T9o,51.5265
79,J8o,51.4831
80,K3o,51.4342
81,Q6o,51.0226
82,Q3s,51.0111
83,98s,50.8049
84,T7s,50.6383
85,J6s,50.6014
86,K2o,50.5214
87,22,50.3355
88,Q2s,50.1650
89,Q5o,50.1567
90,J5s,49.9679
91,T8o,49.7304
92,J7o,49.6586
93,Q4o,49.1312
94,97s,49.0826
95,J4s,49.0709
96,T6s,48.9450
97,J3s,48.2458
98,Q3o,48.2211
99,98o,48.0816
100,87s,47.9239
101,T7o,47.9023
102,J6o,47.8494
103,96s,47.4308
104,J2s,47.3701
105,Q2o,47.3027
106,T5s,47.2144
107,J5o,47.1488
108,T4s,46.5563
109,97o,46.2920
110,86s,46.2199
111,J4o,46.1736
112,T6o,46.0856
113,95s,45.7090
114,T3s,45.7052
115,76s,45.3805
116,J3o,45.2673
117,87o,45.0608
118,T2s,44.8209
119,85s,44.5399
120,96o,44.4856
121,J2o,44.3324
122,T5o,44.2603
123,94s,43.8509
124,75s,43.6531
125,T4o,43.5045
126,93s,43.2652
127,86o,43.2537
128,65s,43.1193
129,84s,42.7003
130,95o,42.6803
131,T3o,42.5601
132,92s,42.3873
133,76o,42.3251
134,74s,41.8559
135,T2o,41.6894
136,54s,41.4434
137,85o,41.4433
138,64s,41.3518
139,83s,40.8648
140,94o,40.6452
141,75o,40.5143
142,82s,40.2756
143,73s,40.0491
144,93o,39.9820
145,65o,39.9579
146,53s,39.7308
147,63s,39.5181
148,84o,39.4336
149,92o,39.1195
150,43s,38.6398
151,74o,38.5508
152,72s,38.1638
153,54o,38.1554
154,64o,38.0063
155,52s,37.8516
156,62s,37.6704
157,83o,37.4886
158,42s,36.8367
159,82o,36.8321
160,73o,36.5887
161,53o,36.2707
162,63o,36.0540
163,32s,35.9599
164,43o,35.1484
165,72o,34.6146
166,52o,34.3080
167,62o,34.1154
168,42o,33.2130
169,32o,32.3179
